                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0536,                   1.96,                 1.5708,                0.72466,                0.17929,                0.22072,                0.08531,                 2.2422,                 1.9272,                 1.6771,             0.00046912,             0.00046912,             0.00046912
                      2,                  1.939,                 1.7716,                 1.5224,                0.68187,                0.17139,                0.26758,                0.10437,                 2.2421,                 1.8204,                 1.6751,             0.00088305,             0.00088305,             0.00088305
                      3,                  1.941,                 1.7428,                 1.5185,                0.71251,                0.19366,                0.23249,                    0.1,                 2.1155,                 1.7536,                 1.6901,              0.0012341,              0.0012341,              0.0012341
                      4,                 1.8852,                 1.6864,                 1.4857,                0.34042,                0.36991,                0.26896,                 0.1091,                 2.1178,                 1.7805,                  1.783,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.8321,                  1.652,                 1.4689,                0.79589,                0.17779,                0.29994,                0.11491,                 2.1509,                  1.956,                 1.6647,              0.0010517,              0.0010517,              0.0010517
                      6,                 1.8078,                 1.6554,                 1.4709,                0.31846,                0.35825,                0.26779,                0.13433,                 1.8862,                 1.8747,                 1.6617,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.7599,                 1.5807,                 1.4596,                0.63417,                0.19372,                0.29472,                0.11946,                 1.9578,                 1.6983,                 1.6089,             0.00086312,             0.00086312,             0.00086312
                      8,                  1.707,                 1.5111,                 1.4307,                0.73902,                0.21832,                0.30986,                 0.1465,                 1.8051,                 1.5783,                 1.5452,              0.0007688,              0.0007688,              0.0007688
                      9,                 1.6775,                 1.4695,                 1.4079,                0.55261,                0.41626,                0.41905,                0.18419,                 1.9073,                 1.5879,                 1.5555,             0.00067449,             0.00067449,             0.00067449
                     10,                  1.673,                 1.4291,                 1.3999,                 0.3996,                0.38486,                0.39703,                  0.158,                 1.8976,                 1.5508,                 1.5476,             0.00058017,             0.00058017,             0.00058017
                     11,                 1.6443,                 1.4119,                 1.3886,                0.45303,                0.43921,                0.38555,                0.18094,                 1.7725,                 1.5558,                 1.4969,             0.00048586,             0.00048586,             0.00048586
                     12,                  1.631,                 1.3904,                 1.3736,                0.57239,                0.43622,                 0.4123,                0.19072,                 1.7984,                 1.5327,                 1.5152,             0.00039155,             0.00039155,             0.00039155
                     13,                 1.5966,                 1.3453,                 1.3576,                0.58161,                0.36721,                0.41106,                0.19464,                  1.765,                 1.5245,                 1.4902,             0.00029723,             0.00029723,             0.00029723
                     14,                 1.5748,                  1.341,                  1.345,                0.70143,                0.40268,                0.42558,                0.19504,                 1.7963,                 1.5171,                 1.5186,             0.00020292,             0.00020292,             0.00020292
                     15,                 1.5807,                 1.2924,                 1.3517,                0.73675,                0.35633,                 0.4068,                0.19044,                 1.7692,                 1.4701,                 1.5033,              0.0001086,              0.0001086,              0.0001086
