                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9857,                 3.1513,                 2.1458,                0.74055,                0.06428,                0.06603,                0.02203,                 2.9228,                 2.7817,                 2.1178,             0.00046912,             0.00046912,             0.00046912
                      2,                 2.5164,                 2.3633,                 1.8319,                0.74693,                0.05979,                0.06544,                0.02304,                 2.5741,                 2.7056,                 1.9571,             0.00085185,             0.00085185,             0.00085185
                      3,                 2.2544,                 2.0508,                 1.6847,                0.57897,                0.09745,                0.11612,                0.04611,                 2.5078,                 2.2438,                 1.8321,              0.0011403,              0.0011403,              0.0011403
                      4,                 2.0911,                 1.8905,                 1.6044,                0.65657,                0.15122,                0.15626,                0.06069,                 2.2035,                  1.971,                 1.7448,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.0195,                 1.8196,                 1.5741,                0.65242,                0.15151,                0.17354,                0.07276,                 2.2727,                  1.962,                    1.7,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.9305,                 1.7159,                 1.5334,                0.63194,                0.20379,                0.21107,                0.10443,                 2.0498,                 1.8311,                 1.5958,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.8858,                  1.665,                 1.5073,                0.74858,                 0.2035,                0.24588,                0.11519,                 1.9231,                  1.751,                 1.5645,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.8189,                 1.6396,                 1.4779,                 0.6933,                 0.2052,                0.26938,                0.14067,                 1.9309,                 1.6683,                 1.5931,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.8247,                 1.5921,                 1.4836,                0.68683,                0.19861,                0.31136,                0.16515,                 2.0444,                 1.6605,                 1.5974,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.7817,                 1.5584,                 1.4566,                0.70927,                0.21994,                0.30668,                0.16947,                 2.0532,                 1.6913,                  1.604,             0.00015576,             0.00015576,             0.00015576
